cgpa,communication_skills,resume_score,coding_score,attendance_placement,placed
6.87,3.4,6.1,6.8,84.6,1
9.75,3.2,8.2,2.6,82.8,1
8.66,9.2,7.8,8.9,50.3,1
7.99,3.2,2.4,6.5,95.7,0
5.78,3.4,2.3,2.4,76.3,0
5.78,7.8,3.4,9.7,65.0,1
5.29,5.0,4.2,5.7,86.6,0
9.33,8.0,4.7,1.7,59.2,0
8.01,1.6,7.1,6.6,83.1,1
8.54,5.4,1.5,3.3,47.2,0
5.1,1.3,1.3,8.2,91.2,0
9.85,1.6,4.5,8.4,69.6,1
9.16,9.2,7.3,9.8,80.0,1
6.06,2.3,2.7,5.5,57.2,0
5.91,5.8,6.8,5.1,82.2,0
5.92,4.7,3.3,7.8,87.5,0
6.52,4.1,9.0,2.2,71.0,0
7.62,9.1,9.1,5.9,79.0,1
7.16,1.2,3.7,5.9,70.1,0
6.46,7.0,3.1,1.8,94.2,0
8.06,9.7,4.7,4.8,72.4,1
5.7,6.0,3.2,8.7,91.3,1
6.46,9.4,7.1,8.7,89.1,1
6.83,1.5,8.4,1.9,67.6,0
7.28,4.8,7.1,1.8,57.7,0
8.93,3.3,8.4,3.4,67.3,0
6.0,7.6,4.6,8.9,90.4,1
7.57,9.8,2.4,2.2,57.5,0
7.96,3.3,7.6,7.5,73.8,1
5.23,6.9,4.2,1.9,89.3,0
8.04,2.8,7.0,6.6,64.4,1
5.85,6.1,3.4,4.2,80.3,0
5.33,5.2,1.7,8.1,58.5,0
9.74,9.7,9.9,3.1,51.0,1
9.83,6.5,2.4,6.8,88.7,1
9.04,4.1,9.9,3.1,50.4,1
6.52,2.0,9.8,7.4,59.9,1
5.49,2.4,8.1,8.9,92.0,1
8.42,3.0,6.9,2.1,64.1,0
7.2,3.3,6.2,8.8,98.5,1
5.61,8.7,8.8,6.3,98.9,1
7.48,6.1,3.6,2.1,59.8,0
5.17,5.7,5.2,4.8,47.3,0
9.55,2.0,6.6,2.4,83.8,0
6.29,8.7,4.7,7.3,69.8,1
8.31,7.5,4.8,7.8,50.5,1
6.56,1.6,4.0,2.0,83.9,0
7.6,7.4,6.1,5.6,46.7,1
7.73,5.9,8.7,8.3,92.9,1
5.92,1.7,2.8,9.4,52.6,0
9.85,5.1,9.4,5.6,52.0,1
8.88,5.4,7.2,9.6,54.7,1
9.7,2.5,8.4,5.8,97.8,1
9.47,9.5,6.0,4.5,83.1,1
7.99,8.6,8.0,8.6,89.1,1
9.61,7.0,1.1,5.4,66.9,1
5.44,5.2,8.4,5.2,63.5,0
5.98,4.7,1.4,5.4,57.9,0
5.23,6.9,9.0,8.6,71.4,1
6.63,5.9,9.9,8.5,75.4,1
6.94,1.6,3.6,4.6,79.7,0
6.36,5.6,2.9,4.0,59.1,0
9.14,8.3,7.9,5.4,97.2,1
6.78,5.1,3.3,6.2,54.3,0
6.4,1.5,8.8,3.1,98.1,0
7.71,8.1,1.9,8.1,45.8,1
5.7,2.8,2.1,5.4,71.5,0
9.01,3.3,9.8,4.0,63.3,1
5.37,2.5,7.1,2.0,69.7,0
9.93,4.0,8.6,3.1,76.4,1
8.86,7.8,3.9,9.5,69.0,1
5.99,5.7,7.1,3.7,67.8,0
5.03,2.8,6.3,2.5,85.3,0
9.08,8.9,6.4,5.1,82.7,1
8.53,8.9,7.1,3.8,90.8,1
8.65,8.8,6.2,1.3,58.7,0
8.86,3.1,4.9,3.9,78.5,0
5.37,5.1,3.5,5.9,77.2,0
6.79,9.9,7.9,6.0,65.3,1
5.58,7.9,3.0,4.2,71.7,0
9.32,1.2,7.2,5.0,62.3,1
8.12,1.6,3.1,9.7,52.8,1
6.65,5.2,6.6,4.4,56.8,0
5.32,9.2,7.7,3.3,50.8,0
6.55,5.8,3.0,3.2,82.6,0
6.63,5.5,1.5,5.1,81.3,0
8.65,1.9,2.2,7.8,97.3,1
8.19,6.9,6.5,2.9,85.1,1
9.44,8.4,8.6,7.4,47.9,1
7.36,4.4,1.4,1.2,93.6,0
5.6,8.0,7.6,4.8,92.4,0
8.57,9.7,4.1,8.0,69.4,1
8.8,2.8,5.3,4.0,77.2,0
7.81,5.7,9.4,6.1,98.7,1
8.85,3.6,4.0,2.8,74.3,0
7.47,8.1,5.2,7.7,94.8,1
7.61,6.2,1.1,1.5,49.6,0
7.14,6.7,1.7,8.7,55.5,1
5.13,8.2,3.3,2.8,69.2,0
5.54,4.6,1.3,8.9,77.2,0
5.16,9.2,6.7,4.2,89.9,0
8.18,5.8,4.8,7.5,99.4,1
6.57,2.4,5.9,3.9,66.4,0
7.54,7.3,2.6,9.2,47.6,1
9.54,8.1,3.7,2.1,89.1,1
6.25,3.9,7.0,2.6,78.2,0
7.05,8.7,9.7,5.4,55.9,1
8.78,9.2,1.5,1.7,72.2,0
6.14,3.5,9.0,2.8,85.8,0
5.38,9.9,6.2,9.5,87.4,1
6.45,2.3,6.1,9.8,72.5,1
5.81,2.8,5.5,4.4,61.8,0
9.65,2.7,1.6,9.3,98.6,1
9.04,9.0,1.8,5.9,81.5,1
8.17,6.9,6.4,3.4,67.5,1
9.36,2.4,4.1,7.3,60.4,1
9.02,5.0,9.3,6.9,85.2,1
5.93,6.5,4.7,9.9,58.3,1
9.46,1.8,2.3,3.4,54.4,0
7.7,8.9,7.4,7.0,74.1,1
9.04,8.2,3.6,1.5,60.9,0
9.48,5.5,5.7,2.0,79.6,0
6.59,9.7,7.3,1.0,51.5,0
5.55,4.8,9.1,10.0,81.0,1
6.14,9.9,8.1,8.2,60.6,1
7.14,7.0,7.1,8.1,45.0,1
9.09,6.7,7.1,5.6,52.0,1
9.3,2.5,9.5,3.7,96.3,1
5.03,8.9,3.7,2.4,92.7,0
7.55,4.8,1.0,3.6,57.8,0
7.09,2.5,3.4,4.4,87.8,0
6.11,1.1,3.0,7.8,78.5,0
5.6,6.0,7.0,5.9,98.4,0
6.69,5.7,6.7,1.7,65.5,0
9.71,7.5,6.3,1.2,82.5,1
6.62,9.0,1.1,1.9,48.5,0
7.59,1.7,7.6,4.7,66.8,0
8.52,7.6,3.9,9.4,98.0,1
6.82,2.7,7.0,6.7,74.6,0
9.86,8.7,6.0,8.2,60.8,1
9.81,8.4,4.1,5.2,51.6,1
6.26,5.9,2.2,4.3,83.7,0
7.49,7.4,1.8,2.0,80.5,0
6.5,3.8,8.5,8.9,65.6,1
6.42,5.2,9.3,8.0,97.3,1
5.18,8.4,6.8,2.5,46.2,0
8.05,5.1,1.9,5.6,61.7,0
7.51,4.2,4.6,5.4,95.7,0
5.26,5.4,7.6,6.6,62.7,0
6.39,8.5,8.0,9.5,58.9,1
9.54,4.0,2.1,6.2,74.4,1
6.2,2.6,1.0,5.9,90.3,0
5.72,7.4,7.4,1.5,50.7,0
7.45,8.4,4.2,1.6,96.9,0
9.93,1.9,3.3,2.7,88.7,0
6.21,3.2,1.1,1.3,55.0,0
8.36,2.3,5.9,7.7,84.2,1
8.81,4.1,8.7,7.5,66.2,1
6.19,5.1,9.6,2.2,67.1,0
8.64,7.7,6.1,8.5,88.1,1
6.84,6.9,5.6,2.4,98.0,0
8.16,6.6,1.8,3.7,52.0,0
8.17,4.2,5.9,3.2,68.1,0
7.68,8.6,4.4,4.4,71.5,1
5.45,5.2,6.5,3.3,65.7,0
9.18,9.8,4.5,5.4,65.0,1
6.6,6.7,3.2,4.7,47.9,0
5.93,2.1,1.9,9.9,82.7,0
5.2,7.1,3.8,1.5,69.0,0
7.95,3.9,1.9,2.3,55.7,0
8.39,7.2,2.6,1.5,89.9,0
5.08,1.6,9.9,6.6,89.1,0
7.56,2.6,5.0,1.5,71.8,0
6.13,8.7,5.8,8.5,61.4,1
8.23,3.0,8.9,5.6,80.1,1
5.87,8.5,10.0,5.7,60.8,1
8.45,3.5,6.2,6.1,58.0,1
6.93,6.8,8.3,2.5,85.2,0
9.68,7.2,3.9,2.8,47.2,1
5.69,5.6,3.8,3.9,50.2,0
6.71,3.7,4.6,6.3,45.4,0
5.57,2.9,7.1,2.9,53.4,0
9.62,1.3,7.1,2.0,48.8,0
9.39,3.7,3.8,9.7,99.8,1
6.29,6.9,2.2,1.2,60.9,0
8.3,9.4,6.7,8.2,53.2,1
9.09,8.8,2.2,8.1,58.3,1
7.78,7.9,6.2,3.7,96.5,1
7.65,8.1,7.2,2.2,73.6,0
6.21,7.0,7.3,2.3,65.1,0
5.47,3.3,7.8,7.3,93.0,0
9.49,9.2,8.9,6.8,66.7,1
9.5,7.0,5.5,8.0,63.4,1
8.17,6.0,7.6,9.4,56.4,1
6.7,2.0,6.6,7.2,65.8,0
6.75,5.0,2.7,2.4,62.4,0
8.63,5.1,1.2,3.2,82.3,0
9.49,8.8,3.6,8.6,60.9,1
9.44,5.9,5.0,2.9,76.7,1
8.9,4.4,6.6,1.7,48.6,0
8.21,9.8,8.6,7.3,55.5,1
5.42,2.0,2.8,4.6,67.4,0
5.81,4.8,2.1,9.3,96.5,1
9.49,1.4,9.7,6.9,65.7,1
8.03,7.7,2.0,1.8,81.5,0
5.05,9.3,5.3,9.5,59.0,1
5.51,3.5,6.3,3.3,52.0,0
8.32,8.7,5.9,4.0,48.2,1
5.03,3.6,1.8,4.6,61.8,0
5.8,9.2,1.5,1.5,53.7,0
7.74,7.8,1.9,5.5,54.6,0
8.46,8.2,6.3,2.1,86.8,1
8.26,1.2,5.9,4.6,45.9,0
6.12,9.7,3.1,4.2,75.7,0
8.56,7.5,6.7,8.0,65.9,1
6.19,3.7,8.4,8.2,72.9,1
6.63,8.5,1.4,2.4,76.0,0
8.73,3.5,5.5,4.3,62.2,0
8.25,8.9,7.2,4.4,61.2,1
9.25,2.0,3.3,2.4,85.3,0
8.29,7.3,3.8,8.2,92.9,1
7.84,5.9,6.5,7.4,55.6,1
5.47,1.9,9.1,2.7,50.4,0
6.84,3.2,8.3,4.3,94.4,0
6.33,1.1,6.2,2.0,64.2,0
6.22,5.2,7.6,6.7,75.3,1
9.87,3.7,4.3,2.1,64.8,0
6.97,6.4,6.8,9.9,51.9,1
9.46,3.7,5.2,8.0,77.4,1
8.16,3.7,2.7,4.5,73.9,0
8.97,7.7,7.3,6.2,56.2,1
7.51,1.4,6.0,9.2,69.9,1
7.88,9.1,4.2,6.0,88.8,1
7.46,8.7,9.2,2.6,77.5,1
5.98,7.0,1.2,4.4,50.3,0
8.61,6.3,3.8,8.6,75.1,1
6.4,9.0,1.5,6.8,83.7,1
5.12,2.7,7.9,6.9,88.6,0
8.23,1.7,7.3,8.8,79.6,1
5.89,3.2,4.0,9.0,53.4,0
9.7,8.2,7.1,9.3,84.1,1
9.77,1.3,4.6,1.9,82.3,0
9.57,6.2,7.8,5.9,46.3,1
6.85,10.0,5.1,7.7,67.6,1
5.08,8.7,4.7,7.8,63.3,1
9.64,5.7,9.4,6.5,81.8,1
7.14,1.6,3.3,2.5,56.9,0
9.83,8.5,2.1,8.2,77.5,1
9.82,6.4,6.3,7.5,95.2,1
9.27,2.0,9.7,1.8,88.9,0
6.47,1.8,4.4,5.2,95.7,0
6.93,9.2,1.6,2.6,98.8,0
9.26,7.0,4.1,4.0,45.6,1
6.58,8.5,5.6,1.2,79.3,0
5.85,8.9,2.5,4.6,67.7,0
7.78,6.1,6.9,5.9,92.3,1
9.68,5.7,10.0,6.6,58.8,1
8.48,4.9,5.1,7.0,99.0,1
7.85,3.9,4.2,8.5,78.8,1
5.49,4.9,4.6,2.9,88.6,0
8.08,8.0,2.0,2.1,49.7,0
9.95,6.4,8.9,8.7,55.1,1
5.7,9.0,4.7,2.4,86.7,0
7.59,5.0,4.5,9.8,46.2,1
9.39,6.5,6.9,8.6,89.9,1
8.7,6.7,5.0,5.5,45.8,1
8.49,6.3,6.8,9.8,81.1,1
8.51,7.3,1.6,1.9,65.1,0
6.8,3.1,8.3,3.7,78.6,0
6.47,5.6,9.5,6.7,83.3,1
9.05,1.9,6.8,4.2,63.8,0
9.05,4.5,9.6,9.4,50.9,1
9.34,5.4,2.4,1.6,48.8,0
9.57,6.9,5.3,5.9,77.4,1
7.56,9.6,6.4,6.3,73.6,1
7.51,6.4,6.2,6.9,85.8,1
8.99,7.7,4.6,3.3,73.0,1
8.25,5.6,4.0,4.3,68.2,0
8.51,6.7,2.1,8.6,66.9,1
8.98,1.6,4.5,2.8,46.5,0
9.45,3.3,2.5,8.4,63.5,1
6.69,4.3,7.6,6.1,98.7,1
6.88,5.3,2.9,7.9,93.0,1
5.47,1.4,1.5,7.4,63.1,0
7.89,2.3,6.0,2.9,77.3,0
5.18,3.5,6.4,6.1,91.6,0
7.33,9.7,8.8,8.8,69.3,1
7.71,4.0,6.2,4.9,46.0,0
6.43,5.3,4.1,9.7,49.1,1
7.95,2.8,8.2,5.1,73.1,1
5.15,6.5,5.9,2.3,98.3,0
5.19,3.5,1.7,4.5,83.1,0
9.11,2.9,6.1,9.6,48.9,1
6.8,5.6,9.2,3.9,55.4,0
5.64,1.0,4.6,8.8,87.4,0
7.61,1.1,3.7,8.9,91.3,1
8.85,3.0,2.3,4.2,79.0,0
6.08,1.3,2.4,1.7,80.4,0
8.11,2.0,4.9,7.5,46.6,1
5.43,4.0,6.4,3.8,90.6,0
5.26,8.2,1.7,8.0,88.4,0
7.66,6.1,9.5,5.0,59.2,1
7.7,5.6,7.8,5.4,84.0,1
8.19,3.6,6.3,8.0,56.8,1
8.63,9.4,8.5,4.4,47.2,1
9.88,4.6,1.7,5.0,56.1,1
7.58,1.8,5.3,4.4,54.8,0
6.61,6.6,6.7,4.3,63.6,0
8.98,2.0,8.5,5.7,68.0,1
6.35,4.1,8.1,8.3,73.0,1
7.19,5.6,3.5,4.3,71.2,0
5.39,8.9,9.5,5.7,59.9,1
5.13,5.4,2.1,7.0,46.6,0
9.81,7.3,8.9,3.4,78.3,1
9.18,9.9,9.7,3.5,66.8,1
8.48,2.2,2.6,9.4,61.4,1
7.04,3.5,7.5,7.5,92.7,1
5.87,4.6,1.4,6.2,86.1,0
5.78,4.8,4.6,6.8,92.2,0
6.25,4.7,5.6,1.3,72.2,0
7.75,9.2,6.2,6.6,52.2,1
8.57,7.4,9.4,5.6,83.3,1
8.3,6.5,7.1,5.9,56.3,1
6.4,3.8,5.3,4.2,69.3,0
9.77,8.4,8.3,1.7,48.6,1
8.69,9.6,9.6,2.7,90.4,1
7.77,8.4,1.2,9.6,51.9,1
8.06,1.0,9.8,4.7,94.7,1
7.1,6.7,1.8,5.2,92.5,0
6.24,1.5,8.3,1.5,70.6,0
6.78,3.3,3.5,1.3,85.9,0
8.79,1.5,2.2,7.5,79.1,1
5.07,6.4,5.0,5.8,89.2,0
5.58,7.2,6.8,5.6,68.7,0
5.23,2.0,4.4,3.2,88.2,0
5.2,4.5,1.5,7.7,70.4,0
9.28,5.1,6.4,2.5,96.8,1
8.52,4.3,9.1,2.7,71.8,0
7.37,2.1,4.4,5.1,70.4,0
5.49,4.8,2.9,3.6,88.2,0
7.46,7.8,5.0,3.2,90.2,0
7.37,1.6,1.4,6.8,75.5,0
5.87,1.7,8.4,6.9,54.9,0
7.17,4.2,8.4,8.4,70.7,1
6.99,9.5,6.3,4.8,98.2,1
8.08,7.0,4.2,1.7,86.4,0
8.18,7.1,8.2,3.5,89.6,1
5.23,4.3,6.0,9.8,46.8,1
6.87,6.3,8.4,6.4,70.7,1
8.13,1.1,6.7,7.4,80.6,1
7.52,6.7,8.1,1.1,90.7,0
9.28,9.2,6.4,5.7,47.7,1
8.29,6.5,4.7,1.3,91.9,0
5.81,8.9,9.6,6.1,75.2,1
5.35,7.5,5.9,9.3,55.9,1
8.21,2.1,6.4,9.7,62.4,1
5.13,9.1,3.0,5.9,60.5,0
7.93,1.6,6.6,5.1,74.2,0
9.7,5.8,6.1,9.5,47.8,1
7.88,2.3,2.7,7.1,53.7,0
6.94,1.1,1.5,1.6,89.7,0
8.22,4.8,6.4,5.2,52.3,1
7.29,3.7,7.9,3.2,57.8,0
7.73,5.4,5.7,5.2,69.9,1
9.71,6.2,3.0,5.1,73.4,1
6.93,1.4,7.0,6.2,87.0,0
9.81,2.1,1.7,4.2,69.6,0
9.53,6.0,5.0,2.5,88.4,1
5.98,4.1,2.5,5.5,79.0,0
5.35,7.6,2.7,8.5,51.2,0
5.5,6.9,2.8,7.0,53.6,0
5.09,8.6,4.5,4.0,69.0,0
5.47,7.2,1.5,9.4,66.8,1
8.42,4.9,4.6,9.2,85.9,1
5.36,7.1,5.6,2.9,76.9,0
6.59,3.5,5.3,1.4,66.3,0
9.22,3.8,4.4,7.7,54.4,1
5.12,8.1,8.6,8.4,57.5,1
9.07,5.0,2.3,9.7,76.7,1
6.41,8.2,5.6,9.0,68.3,1
5.59,8.4,1.6,6.4,73.3,0
8.48,8.7,1.6,5.8,54.4,1
8.14,9.2,6.2,1.3,81.5,0
9.39,4.9,6.1,3.2,91.9,1
8.68,3.9,8.9,5.1,59.2,1
9.02,6.2,6.0,6.7,72.0,1
6.41,4.3,9.6,6.0,98.7,1
5.89,6.4,1.4,7.7,63.3,0
8.75,7.4,1.9,3.5,77.7,0
9.03,7.2,1.4,6.1,50.0,1
9.95,4.4,2.7,1.8,78.3,0
7.06,2.5,5.9,4.7,49.9,0
6.86,4.9,6.8,7.8,97.8,1
8.88,2.3,1.4,7.2,84.4,1
6.7,9.0,9.5,9.9,88.3,1
9.65,4.1,8.6,3.5,83.7,1
9.29,2.4,3.7,5.5,77.4,1
7.14,1.2,1.7,4.0,69.7,0
8.75,6.8,2.5,5.0,92.2,1
8.77,6.7,2.1,8.7,97.6,1
5.52,4.1,2.1,7.2,72.4,0
9.51,1.6,5.7,8.9,96.2,1
7.53,4.7,3.2,2.8,77.1,0
9.13,3.8,4.2,8.9,74.6,1
6.6,7.1,9.9,1.5,70.0,0
9.48,6.5,7.2,9.0,56.5,1
6.95,4.3,9.5,4.0,45.2,0
5.05,3.0,2.3,3.8,58.3,0
9.53,9.9,4.4,5.6,73.0,1
5.46,5.1,6.0,9.5,65.9,1
6.6,7.2,1.7,1.4,69.7,0
9.75,2.3,1.0,4.2,98.9,0
9.75,5.4,7.0,8.7,64.3,1
7.87,1.2,6.8,4.6,69.9,0
8.16,5.5,4.7,2.8,52.3,0
7.24,9.7,5.4,4.8,47.6,1
6.47,4.5,4.7,4.5,87.6,0
6.64,1.4,1.2,9.2,76.4,0
8.36,1.3,4.0,7.9,86.8,1
8.76,4.5,2.6,5.5,53.2,0
8.96,2.4,1.9,9.9,76.5,1
8.95,1.2,9.6,5.2,59.0,1
5.46,7.8,6.4,1.5,57.5,0
7.47,5.1,7.6,3.4,45.6,0
5.29,3.6,3.8,4.9,52.2,0
7.75,9.1,4.5,2.4,62.0,0
7.21,2.0,3.1,9.5,51.4,1
9.44,9.6,1.9,7.9,99.2,1
6.75,3.8,2.6,3.4,62.0,0
5.59,9.0,8.2,6.3,52.2,1
5.71,6.4,7.1,7.5,55.9,1
8.81,8.4,5.9,9.5,77.3,1
8.09,9.9,5.3,8.9,48.5,1
5.51,3.6,9.3,5.6,92.4,0
5.42,9.7,1.7,8.0,97.9,1
8.5,4.5,3.5,6.1,58.6,1
5.36,4.5,4.1,6.0,69.8,0
9.11,4.1,8.0,2.0,46.2,0
8.53,5.9,9.9,2.1,80.2,1
5.41,2.4,3.2,5.8,67.8,0
5.42,6.0,8.9,3.4,59.9,0
9.93,5.9,8.5,1.2,56.4,1
6.87,7.9,3.0,7.5,81.0,1
6.85,8.5,4.6,1.3,67.9,0
9.06,5.0,4.7,6.4,54.9,1
9.74,3.7,9.8,5.9,82.9,1
9.93,3.3,2.6,9.7,76.1,1
8.77,2.8,8.2,5.4,92.2,1
6.88,1.5,4.0,1.6,51.5,0
5.42,4.1,7.6,6.0,88.2,0
8.89,3.4,4.8,8.6,82.0,1
7.79,9.7,6.2,10.0,51.3,1
7.12,6.0,8.5,4.9,83.2,1
9.53,4.1,8.2,3.9,69.3,1
5.56,6.2,8.8,9.2,97.0,1
7.46,2.3,1.5,2.7,52.8,0
5.06,5.0,7.2,6.5,80.4,0
7.34,6.6,2.3,4.7,66.0,0
5.28,5.4,4.7,1.4,97.6,0
5.59,4.6,5.9,4.1,63.1,0
5.59,9.9,4.6,3.4,97.9,0
8.25,8.9,5.7,7.2,94.6,1
8.73,6.6,10.0,9.5,59.9,1
7.92,6.1,2.2,3.4,89.2,0
9.81,6.6,7.1,8.3,99.8,1
6.87,2.8,4.6,1.5,58.9,0
6.43,4.6,2.2,5.8,69.0,0
9.34,1.4,2.4,1.6,73.6,0
6.12,5.3,9.5,9.4,61.2,1
9.82,5.9,8.9,7.9,45.8,1
5.06,3.0,9.2,6.9,57.1,0
9.85,9.7,9.9,8.4,60.5,1
5.22,9.2,2.9,6.8,69.4,0
9.46,7.5,4.2,9.7,54.4,1
7.64,5.8,7.0,7.4,93.0,1
9.96,8.8,5.4,9.3,83.8,1
5.37,2.2,4.8,5.7,49.7,0
7.77,8.1,4.2,2.1,80.8,0
9.85,2.1,6.3,5.8,81.0,1
7.62,8.1,6.2,2.1,97.6,0
8.15,3.5,2.5,6.3,45.2,0
8.48,8.9,5.2,5.3,58.6,1
7.27,9.5,6.0,6.6,96.0,1
8.14,2.3,6.1,1.1,96.3,0
7.92,5.2,2.9,2.8,84.6,0
9.51,9.8,7.7,5.4,87.1,1
5.23,5.4,1.2,9.6,50.0,0
6.4,8.8,4.2,4.5,73.3,0
9.75,6.3,8.0,4.8,57.7,1
9.45,4.4,6.1,7.4,55.0,1
7.28,3.6,3.4,6.4,89.6,0
8.1,2.8,7.3,3.7,52.4,0
6.39,7.9,6.1,4.7,70.8,0
5.94,4.5,8.2,3.0,96.6,0
7.32,5.6,7.6,9.7,55.2,1
6.77,5.4,6.5,2.2,98.8,0
7.92,6.2,5.4,4.3,99.7,1
