cgpa,communication_skills,resume_score,coding_score,attendance_placement,placed
5.39,8.8,2.2,1.2,75.6,0
9.87,9.8,3.4,3.0,54.4,1
9.93,4.7,4.8,8.0,62.4,1
8.49,8.4,6.4,2.8,68.3,1
7.68,7.9,5.6,1.7,62.0,0
6.55,6.2,3.6,5.3,60.4,0
9.07,9.6,1.1,1.1,98.5,0
8.42,2.8,5.5,1.8,53.4,0
5.81,2.0,3.6,8.3,85.3,0
9.55,8.7,7.6,7.9,45.0,1
9.11,5.0,1.2,9.2,77.8,1
9.75,8.6,6.3,8.7,95.4,1
8.63,9.0,9.5,7.1,60.8,1
8.07,1.6,2.6,1.5,55.2,0
7.09,9.0,5.2,8.0,80.8,1
9.66,5.0,1.8,8.6,84.2,1
9.33,5.6,6.6,8.2,82.8,1
5.23,6.6,6.0,5.6,62.6,0
5.13,9.3,4.7,3.1,58.9,0
6.88,1.2,5.7,8.6,97.6,1
9.05,5.3,9.1,7.5,95.8,1
9.94,7.2,2.8,9.8,70.2,1
5.75,7.5,1.2,2.4,91.5,0
7.97,7.2,8.8,3.0,69.9,1
6.9,2.2,6.2,2.9,68.3,0
9.85,3.7,9.0,8.1,53.6,1
9.21,4.2,6.4,2.7,68.5,0
9.19,8.2,8.3,1.6,74.6,1
7.34,3.5,4.9,10.0,46.2,1
7.07,2.9,7.7,1.2,69.4,0
6.37,9.6,9.2,8.5,88.0,1
5.28,1.1,6.1,4.3,82.4,0
9.32,10.0,2.6,8.6,79.9,1
9.06,7.1,3.4,6.0,95.0,1
10.0,8.5,2.8,9.1,46.0,1
9.98,3.7,3.2,9.3,75.6,1
7.78,1.1,3.8,1.1,88.3,0
8.84,7.6,6.0,1.7,74.8,0
9.72,8.5,6.3,3.3,62.8,1
9.25,7.7,4.8,7.0,52.5,1
6.24,2.3,6.5,9.0,93.8,1
7.25,7.8,1.7,5.1,70.9,0
5.65,7.9,1.8,6.5,93.3,0
9.77,6.9,2.5,2.7,77.2,1
8.03,7.9,5.7,8.2,82.1,1
6.14,8.6,2.9,9.7,89.2,1
8.36,6.5,3.5,3.4,81.3,0
8.09,1.8,4.6,5.5,66.9,0
6.79,5.4,8.3,1.8,73.2,0
5.57,1.7,1.1,6.0,89.2,0
8.36,4.7,6.8,5.5,65.6,1
7.6,4.7,7.0,2.3,66.3,0
8.86,1.6,8.2,5.0,50.3,0
7.6,4.1,9.4,4.0,95.3,1
9.26,2.0,1.2,5.7,50.0,0
7.76,8.3,2.4,6.3,80.7,1
7.8,9.5,9.0,1.1,67.7,0
9.38,1.7,5.1,7.8,67.3,1
7.02,9.6,6.1,7.4,82.4,1
5.67,5.7,7.0,4.3,48.7,0
5.14,3.7,7.1,1.5,77.7,0
8.78,1.7,9.4,7.8,87.5,1
8.1,5.5,10.0,9.6,90.6,1
8.52,8.2,7.5,3.2,54.4,1
6.06,7.4,3.6,3.9,94.4,0
5.68,1.5,8.9,2.7,81.1,0
5.07,1.7,1.4,6.2,93.5,0
6.75,4.6,3.1,2.4,71.7,0
7.95,3.7,9.1,4.2,74.8,1
6.96,3.1,3.3,7.3,95.5,0
7.19,3.5,3.0,6.0,94.5,0
9.52,8.2,2.2,4.5,69.6,1
6.74,9.4,8.7,4.8,60.1,1
7.57,4.6,5.5,6.1,66.6,1
8.92,9.2,7.1,1.1,66.3,1
6.98,3.9,3.2,1.7,60.8,0
8.11,5.3,7.8,8.9,59.8,1
9.31,3.0,7.8,1.7,92.4,0
9.75,6.8,3.8,7.4,48.8,1
5.74,9.8,4.7,9.3,82.3,1
9.63,6.4,2.9,3.4,54.5,0
7.46,4.2,9.8,4.3,63.9,0
6.29,6.8,6.8,6.1,48.4,0
7.3,2.1,9.4,8.9,59.8,1
9.9,9.0,3.7,9.5,87.3,1
7.46,5.5,8.0,7.7,93.7,1
6.64,5.0,7.9,1.8,57.2,0
8.17,6.3,7.2,7.0,70.5,1
6.2,6.6,9.7,4.7,70.9,0
5.38,1.6,4.5,5.2,93.0,0
5.64,7.1,2.2,1.4,87.0,0
5.64,3.2,7.0,2.7,73.2,0
5.76,7.4,7.6,8.1,81.9,1
5.69,8.4,6.2,5.1,91.6,0
8.2,8.2,2.9,3.7,45.5,0
5.91,6.0,5.5,4.5,67.2,0
6.73,5.7,3.8,8.7,94.9,1
9.48,2.3,4.8,7.7,85.7,1
7.37,8.0,6.8,3.5,74.9,1
8.34,3.4,7.7,2.1,74.1,0
5.86,5.5,3.1,3.3,64.1,0
5.96,3.6,4.6,9.3,73.6,1
5.2,2.2,3.4,6.2,81.0,0
5.84,6.7,2.8,5.8,68.0,0
6.39,1.5,8.1,6.4,84.3,0
5.89,7.7,9.2,4.3,92.4,1
5.44,3.9,4.3,8.3,53.5,0
5.6,1.0,7.8,5.7,69.8,0
7.3,5.6,9.1,2.1,67.4,0
6.03,1.4,8.6,2.2,82.8,0
6.82,3.5,2.6,5.8,58.7,0
7.52,7.4,9.6,9.4,80.2,1
8.45,1.6,4.4,3.8,93.3,0
5.2,8.6,4.1,8.8,68.0,1
9.0,1.0,1.6,7.9,95.1,1
8.14,3.2,5.4,3.2,99.6,0
5.41,7.7,2.0,1.3,50.8,0
9.37,3.8,3.2,1.9,57.8,0
9.6,1.9,3.9,7.6,97.3,1
5.31,4.2,8.3,2.8,97.7,0
6.38,3.4,8.9,4.3,50.4,0
9.03,8.6,3.7,5.5,45.8,1
8.74,3.8,8.7,7.5,53.9,1
5.92,8.1,8.7,2.0,99.8,0
6.05,9.0,7.9,4.7,54.9,0
6.85,4.9,2.3,5.4,72.6,0
7.42,9.2,7.2,5.9,91.7,1
8.09,4.4,9.5,8.4,46.1,1
6.84,9.7,7.1,2.5,78.2,0
7.31,1.8,4.0,8.3,60.2,0
8.74,7.2,5.5,7.2,92.4,1
5.18,5.4,6.8,6.0,60.6,0
6.26,4.5,5.6,7.3,82.8,1
8.57,6.7,2.1,4.7,82.1,1
9.48,7.3,3.8,2.2,57.2,0
7.56,1.0,8.2,7.0,46.9,0
7.66,2.5,8.8,5.7,67.5,1
5.54,7.4,2.2,6.8,60.9,0
7.24,7.0,9.6,4.0,89.5,1
7.66,9.7,4.0,9.2,89.0,1
6.21,7.8,7.0,6.3,70.1,1
6.35,9.6,7.8,1.8,78.4,0
6.89,7.3,8.3,5.0,78.2,1
5.1,3.7,9.5,7.8,90.5,1
6.61,1.9,3.8,8.1,68.4,0
6.06,8.0,8.7,5.5,60.1,1
6.64,6.8,2.2,9.1,59.6,1
5.6,1.4,7.3,3.4,74.5,0
9.45,4.2,7.7,4.7,69.7,1
7.97,9.6,7.1,9.1,69.2,1
8.4,5.5,3.3,9.1,50.0,1
8.95,4.9,8.9,7.2,84.5,1
7.49,5.1,2.5,8.7,56.8,1
5.43,2.9,1.5,1.8,55.8,0
7.69,4.3,7.5,8.8,67.7,1
7.93,4.3,5.3,3.9,57.5,0
8.73,1.5,8.6,2.6,77.1,0
7.16,7.9,4.5,3.2,65.4,0
5.64,4.7,2.5,4.8,69.7,0
6.42,8.4,8.5,3.3,74.5,0
6.82,8.7,5.9,3.9,56.2,0
8.23,2.9,2.7,2.2,53.6,0
7.85,6.9,7.5,3.7,93.4,1
6.78,5.3,5.6,6.2,68.9,0
9.93,8.9,6.4,5.0,67.7,1
8.03,2.9,5.1,4.1,47.0,0
6.19,7.1,8.5,7.7,72.4,1
5.51,6.5,8.5,9.0,75.5,1
5.76,3.7,7.4,7.8,75.7,0
6.23,2.2,1.9,4.0,83.9,0
5.8,6.9,8.5,7.7,54.8,1
5.93,7.6,7.0,2.4,58.9,0
6.43,3.8,7.3,2.2,89.6,0
5.87,6.8,4.3,4.1,97.1,0
9.48,4.6,8.9,8.3,52.5,1
5.4,7.4,7.5,3.2,72.4,0
7.62,2.8,2.0,1.6,56.8,0
7.05,9.0,4.7,2.2,48.3,0
9.91,3.6,9.0,8.7,62.9,1
5.56,4.3,1.4,6.7,52.9,0
6.99,1.5,9.7,3.3,84.0,0
9.85,2.0,7.1,6.0,74.4,1
9.33,5.6,6.7,5.7,52.9,1
9.09,3.4,3.4,6.9,45.5,1
6.29,8.5,3.2,3.1,89.4,0
5.85,1.1,9.5,8.8,54.7,1
8.34,4.4,3.7,3.8,78.3,0
9.65,4.0,8.0,7.2,63.5,1
7.78,1.2,4.5,1.1,77.2,0
7.86,2.1,2.3,4.4,62.4,0
6.4,4.7,1.1,4.2,49.8,0
8.85,5.4,5.9,5.9,57.3,1
5.94,4.6,9.8,1.7,55.3,0
6.62,5.8,4.3,8.1,68.5,1
7.13,6.4,4.2,3.0,81.2,0
7.54,1.1,4.1,7.1,59.5,0
6.21,5.2,5.7,8.2,45.7,1
5.57,9.7,5.0,6.1,73.5,1
8.05,5.7,8.9,7.7,78.3,1
6.44,7.1,5.5,7.0,98.0,1
7.91,3.8,5.6,4.2,77.4,0
5.77,8.0,2.2,8.3,70.9,1
7.41,8.0,9.8,3.7,76.5,1
7.66,5.7,3.2,6.1,96.0,1
5.26,9.8,1.7,7.7,90.6,1
6.68,2.1,7.0,4.4,62.8,0
5.67,1.2,6.4,3.7,58.0,0
5.32,7.9,4.7,5.1,59.4,0
9.95,8.3,4.8,8.4,72.7,1
6.61,2.1,8.1,9.4,85.9,1
9.05,3.4,2.8,5.9,72.7,1
6.27,1.2,8.4,7.0,48.7,0
8.41,3.6,6.8,9.1,84.8,1
8.8,8.0,4.8,1.9,89.3,0
7.98,5.7,5.1,3.1,60.9,0
7.36,4.1,3.3,7.4,81.5,1
7.06,4.3,7.8,8.4,68.5,1
6.74,1.0,5.6,8.7,93.9,1
9.65,3.7,3.9,4.7,91.5,1
9.15,6.8,6.4,1.8,73.9,0
9.83,9.8,10.0,4.9,83.0,1
5.62,8.6,4.9,3.1,93.6,0
8.65,1.2,9.3,3.6,72.3,0
9.69,9.1,4.1,8.0,62.2,1
5.91,8.0,1.5,1.7,86.5,0
5.33,8.0,2.8,8.4,57.1,0
8.71,5.1,4.8,4.8,66.4,1
7.87,4.6,3.0,6.4,92.6,1
9.21,3.7,1.0,1.8,84.8,0
5.7,1.6,9.2,4.0,67.2,0
8.98,3.1,8.6,1.8,56.8,0
6.01,3.2,7.7,9.7,64.6,1
5.82,5.4,2.5,8.3,60.6,0
5.82,7.7,2.1,5.1,54.7,0
9.07,5.3,1.6,3.0,85.9,0
8.33,1.5,7.5,9.4,58.9,1
7.62,9.6,9.4,4.1,70.0,1
6.79,9.5,4.9,2.4,66.2,0
9.39,8.1,2.1,6.1,99.0,1
6.96,9.9,5.6,9.5,66.5,1
9.08,5.9,4.1,1.0,49.4,0
7.2,9.7,4.4,3.1,49.9,0
6.88,1.7,6.6,9.4,77.5,1
7.31,4.3,7.5,2.5,78.0,0
6.51,3.0,2.0,2.0,68.0,0
8.74,2.8,1.3,6.1,68.8,0
7.51,2.3,9.9,8.8,48.0,1
6.16,6.6,3.1,5.3,73.4,0
9.5,8.0,1.5,10.0,72.8,1
6.92,6.2,2.7,7.1,53.2,0
7.72,2.3,1.4,1.7,50.7,0
9.53,8.3,4.5,9.9,51.8,1
8.12,6.7,8.2,4.7,50.6,1
5.58,4.5,4.1,3.6,78.5,0
9.7,7.1,5.0,6.0,55.8,1
8.14,3.3,7.1,3.7,58.8,0
6.67,4.1,5.6,1.8,54.5,0
5.7,9.3,8.8,1.0,97.7,0
8.97,3.6,8.8,5.0,92.0,1
8.1,5.2,1.1,8.5,57.7,1
7.67,9.0,8.0,6.2,63.0,1
9.47,7.4,5.1,10.0,56.5,1
8.94,1.6,9.9,3.6,72.1,1
5.76,2.3,5.3,3.5,46.1,0
6.56,1.1,9.9,2.4,81.9,0
6.24,6.7,7.8,2.5,73.8,0
8.72,5.0,3.2,3.6,94.4,0
5.17,2.2,5.8,8.1,54.0,0
7.85,9.6,9.9,9.2,89.2,1
8.81,5.8,8.7,9.8,88.6,1
9.38,3.2,1.9,3.1,52.0,0
6.71,5.5,7.4,8.9,66.9,1
9.11,7.1,4.1,4.0,54.4,1
5.55,1.7,1.1,2.0,59.0,0
9.23,3.5,4.6,8.8,59.5,1
5.64,8.3,3.1,6.7,75.6,0
6.99,5.1,8.4,2.5,67.6,0
8.99,5.9,4.0,4.9,97.1,1
5.75,4.9,8.4,3.6,52.0,0
6.15,1.4,1.0,7.6,98.6,0
8.61,2.5,3.8,5.1,57.7,0
8.6,5.0,3.2,9.9,87.5,1
8.21,2.9,3.1,1.5,63.6,0
8.47,1.4,1.6,4.2,52.9,0
7.71,8.6,2.7,5.3,92.2,1
6.26,9.8,6.0,5.5,62.0,1
6.73,8.1,3.6,3.8,81.2,0
5.91,8.7,4.8,7.6,76.2,1
9.54,3.2,4.4,8.9,70.9,1
7.92,9.6,8.9,9.4,72.3,1
7.0,2.8,9.1,8.2,85.3,1
7.31,9.6,5.4,8.7,49.8,1
9.74,10.0,4.0,6.0,81.7,1
5.77,7.4,2.0,8.4,94.3,1
7.93,9.8,9.6,3.7,48.2,1
7.53,6.1,1.5,4.6,52.7,0
8.06,3.3,3.7,3.9,84.4,0
5.09,4.9,3.7,5.2,69.1,0
9.36,6.3,3.9,3.6,67.2,1
9.66,1.7,2.5,9.7,52.5,1
7.83,6.6,8.0,3.8,72.9,1
8.48,9.8,2.1,1.9,52.0,0
9.61,2.7,6.7,5.7,71.2,1
8.54,8.1,2.1,1.5,87.0,0
5.76,9.2,1.6,2.0,59.2,0
7.88,9.5,9.2,3.0,71.4,1
8.03,9.6,2.7,5.2,99.6,1
7.12,5.7,8.4,4.9,82.8,1
8.68,9.8,5.9,8.2,91.3,1
9.67,7.8,1.7,7.7,67.8,1
9.63,2.5,9.6,4.8,87.2,1
7.25,5.3,3.2,4.0,47.2,0
5.57,7.5,8.7,3.8,51.8,0
9.92,3.2,2.5,8.0,56.2,1
9.19,6.8,8.7,1.5,67.1,1
5.62,7.0,1.1,1.1,91.5,0
9.6,2.5,5.6,8.2,64.0,1
9.35,6.1,7.9,5.3,81.0,1
7.59,7.9,9.4,2.2,84.0,1
7.96,5.5,9.2,3.1,77.2,1
7.0,1.1,8.4,9.4,64.6,1
5.27,1.1,9.0,8.7,76.7,0
6.68,4.2,2.8,7.4,63.8,0
9.01,9.3,3.6,5.3,49.6,1
5.02,3.1,3.6,5.7,99.6,0
6.67,6.7,4.4,9.8,52.0,1
6.99,3.0,4.5,9.7,49.0,1
7.69,3.9,5.9,2.9,93.3,0
9.6,8.6,2.4,8.3,61.6,1
6.73,7.6,7.2,2.8,80.8,0
6.73,1.9,2.5,2.9,63.1,0
8.69,4.9,3.8,7.1,66.5,1
7.26,1.3,5.5,4.6,59.4,0
6.12,5.3,8.2,9.4,63.9,1
7.26,7.0,7.7,1.8,67.6,0
5.7,2.1,6.8,5.6,84.6,0
5.88,3.6,2.4,9.3,73.1,0
7.49,4.6,5.9,9.1,96.9,1
7.09,9.3,1.8,2.4,47.3,0
9.57,9.9,4.4,4.3,72.7,1
6.81,1.4,4.7,6.6,77.1,0
7.9,7.8,1.4,2.4,95.6,0
8.16,4.3,3.5,9.7,47.7,1
5.07,4.5,9.6,9.2,76.5,1
8.32,7.8,9.6,2.5,91.9,1
5.89,9.3,4.2,2.1,58.3,0
9.81,9.6,1.4,1.8,93.2,1
5.74,6.2,2.6,9.2,46.0,0
7.07,4.2,4.5,2.7,85.3,0
5.43,8.1,9.5,4.7,96.3,1
9.98,3.3,2.3,5.0,81.1,1
7.51,6.1,7.9,6.4,69.1,1
7.98,4.2,2.0,1.6,47.5,0
5.34,6.9,9.8,3.0,95.6,0
8.75,3.2,4.4,9.4,70.9,1
6.05,2.7,8.0,9.2,46.6,1
9.49,9.3,4.1,8.0,82.9,1
6.03,1.9,6.6,1.2,71.5,0
5.95,5.6,2.7,3.9,51.8,0
5.18,3.0,2.3,6.7,56.8,0
7.36,1.4,9.4,3.5,48.5,0
7.82,1.3,9.3,9.2,76.6,1
5.33,2.6,9.0,6.7,79.2,0
8.88,8.8,6.6,1.6,72.8,1
7.27,3.5,8.3,9.2,89.9,1
7.62,9.6,1.6,9.6,92.4,1
7.2,6.2,4.0,1.7,78.9,0
7.0,4.9,3.8,5.8,45.7,0
7.8,6.2,6.7,3.7,83.2,1
5.78,5.7,4.2,4.5,68.0,0
5.91,7.8,2.3,2.6,76.1,0
9.31,3.5,6.4,6.2,80.7,1
9.73,4.2,8.3,9.6,64.3,1
6.87,9.0,4.4,5.5,95.4,1
6.35,9.5,2.2,1.7,52.4,0
8.22,9.0,2.8,6.6,81.9,1
7.04,4.8,3.1,4.1,45.2,0
5.13,8.0,3.7,8.7,95.9,1
5.78,5.3,6.8,4.9,51.2,0
8.58,5.5,6.4,2.7,50.2,0
8.29,2.8,7.3,2.7,63.3,0
5.14,6.3,4.3,7.9,65.5,0
6.11,2.7,8.4,3.4,56.8,0
6.16,4.0,2.8,7.9,77.2,0
8.36,8.7,5.2,2.9,69.4,1
5.1,2.9,8.2,3.9,46.9,0
5.52,1.6,2.6,5.2,62.6,0
9.0,1.6,2.0,9.5,89.6,1
5.89,9.5,9.0,9.4,82.9,1
8.26,5.6,4.1,2.9,84.9,0
6.19,4.7,7.2,4.2,83.4,0
5.5,8.3,1.2,2.3,62.1,0
6.22,8.5,7.2,5.6,50.5,1
8.61,4.0,3.8,5.1,60.0,0
9.28,7.2,1.5,9.1,90.7,1
9.15,7.9,6.5,9.4,98.9,1
6.99,6.9,3.2,4.5,72.2,0
8.34,2.4,4.5,5.4,45.5,0
6.02,8.9,1.7,9.1,52.7,1
6.47,5.9,2.3,8.3,62.7,1
9.48,3.5,3.7,1.0,76.8,0
5.07,4.8,1.8,3.9,49.1,0
5.43,1.3,9.2,4.8,96.9,0
6.04,2.2,1.1,3.1,65.1,0
5.13,7.9,5.4,2.8,95.2,0
5.91,1.0,2.1,1.3,87.9,0
7.92,4.7,3.8,6.8,86.5,1
7.11,5.7,9.3,3.4,78.4,0
9.46,1.5,2.5,1.5,79.5,0
9.09,9.8,9.7,3.1,80.1,1
6.71,3.0,2.9,8.2,79.6,0
6.3,3.7,7.7,8.7,75.5,1
6.9,3.7,5.9,5.3,99.3,0
7.95,3.1,9.0,4.7,85.3,1
6.34,1.0,6.0,9.8,87.7,1
8.12,7.6,5.8,2.8,93.0,1
7.05,9.7,2.8,2.9,56.9,0
7.76,3.0,2.5,3.6,49.6,0
7.18,7.0,9.2,2.6,71.6,0
6.47,7.7,4.0,4.4,73.3,0
9.74,8.6,4.3,9.2,90.6,1
8.82,4.8,7.8,6.5,69.4,1
5.7,3.7,4.0,4.7,76.4,0
9.34,3.9,9.6,9.4,74.0,1
7.44,7.4,7.6,1.4,47.1,0
9.47,8.4,6.4,2.9,78.8,1
9.0,2.6,8.9,6.1,90.5,1
7.13,4.3,1.4,6.5,53.7,0
5.11,9.1,3.3,1.4,77.7,0
6.34,8.3,5.2,4.6,77.6,0
7.71,9.9,3.0,6.8,54.0,1
8.17,7.8,7.7,7.3,51.8,1
6.29,4.5,9.3,6.7,98.9,1
5.7,6.3,4.8,3.9,66.7,0
9.17,6.9,4.1,1.8,57.5,0
9.92,1.7,9.7,4.8,54.4,1
7.63,5.9,5.0,2.2,81.7,0
5.86,7.4,5.4,9.5,78.5,1
6.36,2.5,4.2,5.3,80.4,0
5.09,8.0,9.2,3.9,49.8,0
9.57,6.3,6.1,7.9,94.1,1
5.59,9.6,7.9,5.5,66.4,1
7.88,1.4,8.3,3.8,62.2,0
6.37,3.4,4.1,8.3,70.4,0
7.77,6.4,4.9,8.8,66.5,1
8.26,3.7,8.6,7.1,92.5,1
9.15,7.4,4.3,1.4,96.1,0
6.03,7.8,8.1,6.1,61.7,1
5.05,1.9,9.5,7.9,92.5,0
5.68,5.6,6.6,2.2,88.0,0
9.5,5.6,7.7,3.1,96.2,1
9.37,4.3,8.2,8.9,58.5,1
7.99,9.4,8.6,1.2,76.7,1
8.0,8.4,4.6,7.8,60.1,1
8.33,7.3,1.5,5.3,90.3,1
5.88,7.4,4.6,5.0,45.3,0
9.57,5.2,7.1,1.1,76.1,0
7.09,9.3,5.1,8.4,63.7,1
6.92,7.3,7.7,4.2,62.7,0
7.59,7.6,4.2,5.9,80.5,1
5.23,8.8,6.7,7.1,91.8,1
5.83,3.5,2.7,7.3,78.5,0
8.69,8.3,7.7,9.6,91.9,1
5.41,2.8,5.9,5.8,59.6,0
8.02,4.1,2.8,4.6,73.6,0
6.23,4.0,3.6,9.6,69.8,1
6.95,9.8,7.7,6.8,45.6,1
6.44,8.7,5.3,3.7,75.6,0
6.78,7.3,2.9,2.1,81.4,0
8.6,7.5,9.7,8.6,77.6,1
6.49,6.1,7.4,4.3,85.5,0
7.83,9.5,9.6,6.9,76.4,1
7.38,5.5,4.8,5.2,48.7,0
8.32,4.4,5.3,2.8,51.4,0
9.68,2.5,9.1,6.4,77.8,1
8.66,8.1,5.7,1.5,60.1,0
6.07,7.6,7.4,4.7,49.4,0
5.16,4.5,3.3,5.9,68.6,0
6.31,1.2,5.0,4.9,75.5,0
7.98,8.6,2.1,7.7,63.1,1
5.26,1.1,2.9,8.5,84.6,0
7.48,7.3,1.0,7.9,80.4,1
7.98,9.7,1.4,1.3,63.3,0
6.67,4.9,9.8,2.7,86.5,0
8.85,3.1,3.2,5.8,80.7,1
5.53,7.3,7.0,9.4,80.1,1
5.38,8.4,8.6,8.5,75.4,1
8.64,5.9,6.0,8.6,45.6,1
7.48,9.7,2.4,3.7,83.3,0
8.44,1.5,7.6,4.9,65.7,0
7.17,5.5,6.4,5.2,96.8,1
6.23,7.5,7.6,2.4,90.0,0
9.1,8.8,7.9,1.3,77.3,1
9.0,2.6,9.8,9.5,58.9,1
8.47,8.2,6.2,3.2,56.2,1
6.36,6.0,4.1,3.2,63.7,0
7.95,4.6,6.8,1.8,71.2,0
6.8,2.2,1.6,9.4,61.3,0
5.46,8.8,9.1,6.2,73.3,1
9.59,2.4,2.1,7.0,54.1,1
